noise_level,parameter_a,parameter_b,median_abs_correlation,mean_correlation,q25_abs,q75_abs,n_patients,fraction_above_threshold,confounded
optimistic,a_pas_kpa,b_pas,0.8120672037911834,-0.7597333222425217,0.6507761004382433,0.8926444501603953,50,0.52,True
optimistic,phi_baseline,ca50_ref_um,0.6938102561063286,0.6489829788556368,0.5452220627310498,0.7853986420088365,50,0.22,False
optimistic,a_pas_kpa,ca50_ref_um,0.15764176468279928,0.17723573058573908,0.07694126042787253,0.29422416779276883,50,0.0,False
optimistic,phi_baseline,a_pas_kpa,0.09639829045373152,0.09095930103109533,0.040331617286492136,0.15916905946561494,50,0.0,False
optimistic,phi_baseline,b_pas,0.07058972891577447,0.08666721713932045,0.03490057508801521,0.14299902528145064,50,0.0,False
optimistic,b_pas,ca50_ref_um,0.05799821053881932,-0.006013474574742387,0.02961873659188131,0.1120448174714953,50,0.0,False
optimistic,b_pas,clearance_l_per_h,0.02601869709647618,0.005550316717885989,0.016767060667142595,0.03163519944081879,50,0.0,False
optimistic,a_pas_kpa,clearance_l_per_h,0.021903527806795012,0.002430470413449034,0.013374012080466843,0.03679973777478946,50,0.0,False
optimistic,ca50_ref_um,clearance_l_per_h,0.02102641486989846,0.0036690897065983215,0.010076691679929077,0.03484751862939997,50,0.0,False
optimistic,phi_baseline,clearance_l_per_h,0.018095215670034963,-0.0025238795306711153,0.008866607146390246,0.03915434840965508,50,0.0,False
realistic,a_pas_kpa,b_pas,0.6764213353430724,-0.6605211464375422,0.5115534977712035,0.8176395135907162,50,0.3,False
realistic,phi_baseline,ca50_ref_um,0.46913088518136326,0.47149600002407593,0.3383290164264267,0.6355855329189214,50,0.02,False
realistic,a_pas_kpa,ca50_ref_um,0.11907170516084493,0.1332656303087053,0.054578308977067905,0.23361698148239168,50,0.0,False
realistic,phi_baseline,a_pas_kpa,0.08226809575441901,0.06071409507644779,0.03824928581488383,0.12351755010148377,50,0.0,False
realistic,phi_baseline,b_pas,0.06934710309287742,0.07856290313802286,0.03246540339849893,0.12258049796629047,50,0.0,False
realistic,b_pas,ca50_ref_um,0.05507374845085666,0.010218459110146308,0.024505199705871124,0.09537152071461744,50,0.0,False
realistic,b_pas,clearance_l_per_h,0.02709451073162167,-6.558527861776924e-05,0.01289589844386294,0.037911205693664296,50,0.0,False
realistic,phi_baseline,clearance_l_per_h,0.02470009837461195,-0.005201434542947275,0.012610038901998123,0.038063291571697834,50,0.0,False
realistic,a_pas_kpa,clearance_l_per_h,0.024614709952213806,0.0021684170325335784,0.012473727180020702,0.041992905955500155,50,0.0,False
realistic,ca50_ref_um,clearance_l_per_h,0.016383504425223173,0.0033823577498299368,0.009921843999425924,0.026170337110058364,50,0.0,False
