noise_level,parameter_a,parameter_b,median_abs_correlation,mean_correlation,q25_abs,q75_abs,n_patients,fraction_above_threshold,confounded
realistic,a_pas_kpa,b_pas,0.6764213353430724,-0.6605211464375422,0.5115534977712035,0.8176395135907162,50,0.3,False
realistic,phi_baseline,ca50_ref_um,0.4691308851813632,0.4714960000240759,0.3383290164264267,0.6355855329189214,50,0.02,False
realistic,a_pas_kpa,ca50_ref_um,0.1190717051608449,0.1332656303087053,0.0545783089770679,0.2336169814823916,50,0.0,False
realistic,phi_baseline,a_pas_kpa,0.082268095754419,0.0607140950764477,0.0382492858148838,0.1235175501014837,50,0.0,False
realistic,phi_baseline,b_pas,0.0693471030928774,0.0785629031380228,0.0324654033984989,0.1225804979662904,50,0.0,False
realistic,b_pas,ca50_ref_um,0.0550737484508566,0.0102184591101463,0.0245051997058711,0.0953715207146174,50,0.0,False
realistic,b_pas,clearance_l_per_h,0.0270945107316216,-6.558527861776924e-05,0.0128958984438629,0.0379112056936642,50,0.0,False
realistic,phi_baseline,clearance_l_per_h,0.0247000983746119,-0.0052014345429472,0.0126100389019981,0.0380632915716978,50,0.0,False
realistic,a_pas_kpa,clearance_l_per_h,0.0246147099522138,0.0021684170325335,0.0124737271800207,0.0419929059555001,50,0.0,False
realistic,ca50_ref_um,clearance_l_per_h,0.0163835044252231,0.0033823577498299,0.0099218439994259,0.0261703371100583,50,0.0,False
