noise_level,parameter_a,parameter_b,median_abs_correlation,mean_correlation,q25_abs,q75_abs,n_patients,fraction_above_threshold,confounded
optimistic,a_pas_kpa,b_pas,0.8120672037911834,-0.7597333222425217,0.6507761004382433,0.8926444501603953,50,0.52,True
optimistic,phi_baseline,ca50_ref_um,0.6938102561063286,0.6489829788556368,0.5452220627310498,0.7853986420088365,50,0.22,False
optimistic,a_pas_kpa,ca50_ref_um,0.1576417646827992,0.177235730585739,0.0769412604278725,0.2942241677927688,50,0.0,False
optimistic,phi_baseline,a_pas_kpa,0.0963982904537315,0.0909593010310953,0.0403316172864921,0.1591690594656149,50,0.0,False
optimistic,phi_baseline,b_pas,0.0705897289157744,0.0866672171393204,0.0349005750880152,0.1429990252814506,50,0.0,False
optimistic,b_pas,ca50_ref_um,0.0579982105388193,-0.0060134745747423,0.0296187365918813,0.1120448174714953,50,0.0,False
optimistic,b_pas,clearance_l_per_h,0.0260186970964761,0.0055503167178859,0.0167670606671425,0.0316351994408187,50,0.0,False
optimistic,a_pas_kpa,clearance_l_per_h,0.021903527806795,0.002430470413449,0.0133740120804668,0.0367997377747894,50,0.0,False
optimistic,ca50_ref_um,clearance_l_per_h,0.0210264148698984,0.0036690897065983,0.010076691679929,0.0348475186293999,50,0.0,False
optimistic,phi_baseline,clearance_l_per_h,0.0180952156700349,-0.0025238795306711,0.0088666071463902,0.039154348409655,50,0.0,False
