noise_level,parameter,median_ci90_width,median_abs_bias,n,recoverable
optimistic,ca50_ref_um,0.2819050342883607,0.0454402925035332,50,True
optimistic,phi_baseline,0.5128469299854486,0.0861513011836428,50,True
optimistic,b_pas,0.675895246553145,0.1349981289133229,50,False
optimistic,a_pas_kpa,0.997095524359652,0.2398985875248737,50,False
optimistic,clearance_l_per_h,1.4225398907896325,0.3384228529388808,50,False
realistic,ca50_ref_um,0.3431509768808429,0.0608203647614193,50,True
realistic,phi_baseline,0.5482276716802686,0.0917622184975277,50,True
realistic,b_pas,0.7136478337844698,0.15961729912549,50,False
realistic,a_pas_kpa,1.005008607618901,0.2152179339841637,50,False
realistic,clearance_l_per_h,1.4442623489619333,0.3464558082514102,50,False
