quantity,phi_baseline,a_pas_kpa,b_pas,ca50_ref_um,clearance_l_per_h
edv_ml,0.02026231161178194,0.24227598010129092,0.14972700362882826,0.09063041715486855,0.0
esv_ml,0.06337091836655308,0.06307282034965572,0.0530962796551485,0.1248182165984988,0.0
stroke_volume_ml,0.012496624990143063,0.36899899859559593,0.2543606848461236,0.036953646458895074,0.0
ejection_fraction,0.05947720275520973,0.15707637281213638,0.1559995210753329,0.07173196047487236,0.0
wall_thickness_cm,0.0024590471114769876,0.022026465370197396,0.013553845108664782,0.011280749910630177,0.0
lv_mass_g,0.0,0.0,0.0,0.0,0.0
peak_lvot_gradient_mmhg,0.06315992519134606,0.017030858377032002,0.01679976793005485,0.07239266465838341,0.0
end_diastolic_pressure_mmhg,0.006432411873026328,0.2949439349457418,0.1913813535566877,0.029863769038376717,0.0
e_over_e_prime,0.0074142200988133325,0.22873198681070572,0.30731120542189067,0.024736890025374825,0.0
peak_strain_amplitude,0.03588880720957396,0.3262228368458398,0.26532327378878834,0.03618117734436674,0.0
mean_arterial_pressure_mmhg,0.01278536127941138,0.30724514127418034,0.20185623770384925,0.034783267145035934,0.0
cardiac_output_l_per_min,0.01482211158777585,0.3909356615242874,0.26485991322516006,0.04938655353634944,0.0
heart_rate_bpm,0.0,0.0,0.0,0.0,0.0
thickness_to_cavity_ratio,0.01672431125766701,0.10779517752022331,0.0663844879958424,0.07200724662079022,0.0
stroke_volume_index_ml_per_m2,0.011063253200747546,0.32884873348771676,0.22673453593600348,0.03245940913361953,0.0
stroke_work_j,0.02154469201073529,0.33994136418784987,0.21720654839482842,0.018944332207826615,0.0
atp_cost_per_stroke_work,0.025010166184662137,0.4359138960957523,0.3889396620873204,0.18102685745580807,0.0
ef_at_mid_dose,0.14262458243455325,0.09734870122497605,0.09270091711437475,0.10515260885382027,0.07129416293840542
ef_drop_at_mid_dose,0.22019374274567224,0.06668230718494705,0.060004778208881976,0.09990649798318768,0.5048915529247698
ef_slope_per_mg,0.22019374274567244,0.06668230718494714,0.060004778208881775,0.09990649798318772,0.504891552924769
