quantity,parameter,spearman,p_value
edv_ml,wall_volume_ml,-0.07452610048166479,1.30281387697906e-07
edv_ml,ref_cavity_volume_ml,0.6871955752765382,0.0
edv_ml,body_surface_area_m2,-0.00317745540739561,0.8221840677221101
edv_ml,phi_baseline,-0.11970510405695547,1.943640287509289e-17
edv_ml,a_pas_kpa,-0.3793182087988762,5.073066259818046e-171
edv_ml,b_pas,-0.30765391193436936,3.4577117157789884e-110
edv_ml,ca50_ref_um,0.2562934517327427,6.758227623122714e-76
edv_ml,clearance_l_per_h,0.00875502303333742,0.53575811096699
edv_ml,heart_rate_bpm,-0.25241184665937544,1.3489195193124349e-73
edv_ml,total_blood_volume_ml,0.19859991471507205,1.0841473113499032e-45
edv_ml,systemic_resistance_mmhg_s_per_ml,-0.06732316685124097,1.8692847714409024e-06
esv_ml,wall_volume_ml,-0.3801434163683693,8.105084254556047e-172
esv_ml,ref_cavity_volume_ml,0.7489974741931095,0.0
esv_ml,body_surface_area_m2,0.011214420128965605,0.4276599011259424
esv_ml,phi_baseline,-0.2229005311775616,2.181292200365063e-57
esv_ml,a_pas_kpa,0.018070795499817962,0.2011711680290685
esv_ml,b_pas,0.04497984485908891,0.001457771031840038
esv_ml,ca50_ref_um,0.32423725114692303,7.386957451753064e-123
esv_ml,clearance_l_per_h,0.0025129289169513944,0.8589306208853335
esv_ml,heart_rate_bpm,-0.006268191162231989,0.6575175155125317
esv_ml,total_blood_volume_ml,0.10499161870568535,9.58692816798432e-14
esv_ml,systemic_resistance_mmhg_s_per_ml,0.07862862466685522,2.5488877498383636e-08
stroke_volume_ml,wall_volume_ml,0.2243929055223158,3.7364571976977206e-58
stroke_volume_ml,ref_cavity_volume_ml,0.30879441304117483,4.9341574613792066e-111
stroke_volume_ml,body_surface_area_m2,-0.007160256068748662,0.6125480699727143
stroke_volume_ml,phi_baseline,0.03187598726891142,0.02412648000799458
stroke_volume_ml,a_pas_kpa,-0.5458781235956373,0.0
stroke_volume_ml,b_pas,-0.47447861483727993,1.9134224314232954e-279
stroke_volume_ml,ca50_ref_um,0.09690882287785522,6.403260674815999e-12
stroke_volume_ml,clearance_l_per_h,0.007920580568674613,0.5753304704189357
stroke_volume_ml,heart_rate_bpm,-0.35300443582145097,8.289440685729179e-147
stroke_volume_ml,total_blood_volume_ml,0.19628017634409678,1.1903090270284245e-44
stroke_volume_ml,systemic_resistance_mmhg_s_per_ml,-0.1554808441160781,1.8701966640257149e-28
ejection_fraction,wall_volume_ml,0.4739876915600853,8.607571069362078e-279
ejection_fraction,ref_cavity_volume_ml,-0.47801682012486874,3.493688941850209e-284
ejection_fraction,body_surface_area_m2,-0.006486359201698543,0.6463962277106683
ejection_fraction,phi_baseline,0.21779436175724948,8.281826051583219e-55
ejection_fraction,a_pas_kpa,-0.3309477786220942,3.227411321722513e-128
ejection_fraction,b_pas,-0.3101391855536047,4.912879901557498e-112
ejection_fraction,ca50_ref_um,-0.24134847679838597,2.9464247497524383e-67
ejection_fraction,clearance_l_per_h,-0.0013546355705566573,0.9236705316618379
ejection_fraction,heart_rate_bpm,-0.19785493967323425,2.3479643923399312e-45
ejection_fraction,total_blood_volume_ml,0.011887187920238849,0.40046506574699414
ejection_fraction,systemic_resistance_mmhg_s_per_ml,-0.16557284175045694,4.2835713127527994e-32
wall_thickness_cm,wall_volume_ml,0.9445499715599204,0.0
wall_thickness_cm,ref_cavity_volume_ml,-0.2111415258764138,1.5175933531610243e-51
wall_thickness_cm,body_surface_area_m2,-0.0012985162978695595,0.9268236066259432
wall_thickness_cm,phi_baseline,0.04326459005628003,0.002202555124132307
wall_thickness_cm,a_pas_kpa,0.1201340936059577,1.4917466547387873e-17
wall_thickness_cm,b_pas,0.10570133033685598,6.52497285060559e-14
wall_thickness_cm,ca50_ref_um,-0.08247058723071403,5.128013506779079e-09
wall_thickness_cm,clearance_l_per_h,0.011002069368531354,0.43646184202761834
wall_thickness_cm,heart_rate_bpm,0.08338071816321926,3.4698011124509952e-09
wall_thickness_cm,total_blood_volume_ml,-0.07276068400013257,2.5625035264782815e-07
wall_thickness_cm,systemic_resistance_mmhg_s_per_ml,0.019349980161645342,0.17108669794769132
lv_mass_g,wall_volume_ml,1.0,0.0
lv_mass_g,ref_cavity_volume_ml,-0.00012151730456482062,0.9931424908827349
lv_mass_g,body_surface_area_m2,0.0007525198855135929,0.9575530349373031
lv_mass_g,phi_baseline,-0.0008634491582821722,0.9513031832096589
lv_mass_g,a_pas_kpa,-0.0014919220933275587,0.9159622072226512
lv_mass_g,b_pas,0.004899818040960756,0.7289232955941471
lv_mass_g,ca50_ref_um,-0.0002496911828845078,0.9859098943250895
lv_mass_g,clearance_l_per_h,0.015775087327334077,0.26450116823759356
lv_mass_g,heart_rate_bpm,-0.003927805514852374,0.7811595275203868
lv_mass_g,total_blood_volume_ml,-0.005880219952335625,0.6774818094801895
lv_mass_g,systemic_resistance_mmhg_s_per_ml,-0.0021124730573885745,0.8812286156641402
peak_lvot_gradient_mmhg,wall_volume_ml,0.8145618029498553,0.0
peak_lvot_gradient_mmhg,ref_cavity_volume_ml,-0.3274287032558695,2.1698226367655536e-125
peak_lvot_gradient_mmhg,body_surface_area_m2,0.001731409348922912,0.9025348617042142
peak_lvot_gradient_mmhg,phi_baseline,0.2657493224369493,1.1458648178185267e-81
peak_lvot_gradient_mmhg,a_pas_kpa,-0.07122261694979412,4.562224374821064e-07
peak_lvot_gradient_mmhg,b_pas,-0.06785697079262416,1.5478975349057336e-06
peak_lvot_gradient_mmhg,ca50_ref_um,-0.15967289324747266,6.14736795987572e-30
peak_lvot_gradient_mmhg,clearance_l_per_h,0.010953897367021568,0.43847299659189315
peak_lvot_gradient_mmhg,heart_rate_bpm,-0.08206807772223594,6.08700639209624e-09
peak_lvot_gradient_mmhg,total_blood_volume_ml,-0.042669135409386695,0.0025336559318385947
peak_lvot_gradient_mmhg,systemic_resistance_mmhg_s_per_ml,-0.11069378886214139,4.05122993336008e-15
end_diastolic_pressure_mmhg,wall_volume_ml,-0.09663756205157471,7.330736407719631e-12
end_diastolic_pressure_mmhg,ref_cavity_volume_ml,-0.37491392333167256,8.269971855400678e-167
end_diastolic_pressure_mmhg,body_surface_area_m2,-0.025738161120661022,0.06864952723124663
end_diastolic_pressure_mmhg,phi_baseline,0.03487949992198021,0.013597647134542491
end_diastolic_pressure_mmhg,a_pas_kpa,0.48051640232573967,1.4519139409676943e-287
end_diastolic_pressure_mmhg,b_pas,0.4053606989839385,2.6953636356416016e-197
end_diastolic_pressure_mmhg,ca50_ref_um,-0.09354192814750602,3.3430554232273354e-11
end_diastolic_pressure_mmhg,clearance_l_per_h,0.00838876272927581,0.5529577716211649
end_diastolic_pressure_mmhg,heart_rate_bpm,-0.20075920798685074,1.13423706807513e-46
end_diastolic_pressure_mmhg,total_blood_volume_ml,0.4995749620138263,0.0
end_diastolic_pressure_mmhg,systemic_resistance_mmhg_s_per_ml,-0.23915821541824495,4.859828643968513e-66
e_over_e_prime,wall_volume_ml,0.6472543940466718,0.0
e_over_e_prime,ref_cavity_volume_ml,0.23229379036354358,2.6418305711498103e-62
e_over_e_prime,body_surface_area_m2,-0.006099519932681579,0.6661680872881013
e_over_e_prime,phi_baseline,0.04830418071160677,0.0006297410977509808
e_over_e_prime,a_pas_kpa,0.39449585005705956,4.802508267027704e-186
e_over_e_prime,b_pas,0.5016221697371052,0.0
e_over_e_prime,ca50_ref_um,-0.0892640720805961,2.5138236698952566e-10
e_over_e_prime,clearance_l_per_h,0.028515696624479916,0.04366646138781362
